Status,Project,Branch,Change-id,Upload date,Days since upload,Last update date,Days since last update,Author,Review
TO_REVIEW_AND_VERIFY,platform/core/api/media-content,tizen,Id1547e201b3c4a88af81485e1ac6c3e43a2fbe61,2014-01-20,209,2014-01-20,209,limachaves,https://review.tizen.org/gerrit/#/c/15407
TO_REVIEW_AND_VERIFY,platform/core/pim/contacts-service,tizen,I94a9286ada7cc560671376f3c399d84071318351,2014-01-20,209,2014-01-20,209,limachaves,https://review.tizen.org/gerrit/#/c/15406
TO_REVIEW_AND_VERIFY,platform/core/pim/contacts-service,tizen,I538edda3779fd144b3f0b01e5df40f2344595af3,2014-01-20,209,2014-01-20,209,limachaves,https://review.tizen.org/gerrit/#/c/15405
TO_REVIEW_AND_VERIFY,platform/core/pim/contacts-service,tizen,Ia26c301ff1ffe6b45a6743250b0f98a8017c7142,2014-01-20,209,2014-01-20,209,limachaves,https://review.tizen.org/gerrit/#/c/15404
TO_REVIEW_AND_VERIFY,platform/core/pim/contacts-service,tizen,I707df36bf4ac11bf83f115f1ca4454c9dd315a22,2014-01-20,209,2014-01-20,209,limachaves,https://review.tizen.org/gerrit/#/c/15403
TO_REVIEW_AND_VERIFY,platform/core/pim/contacts-service,tizen,Icf84afef6f9261efdc330bb0d31ad29aaa4fb89a,2014-01-20,209,2014-01-20,209,limachaves,https://review.tizen.org/gerrit/#/c/15402
TO_REVIEW_AND_VERIFY,platform/core/pim/contacts-service,tizen,I5b7fe047c25b516e56427db5f47dbfe7a635cc98,2014-01-20,209,2014-01-20,209,limachaves,https://review.tizen.org/gerrit/#/c/15401
TO_REVIEW_AND_VERIFY,platform/core/pim/contacts-service,tizen,I2e844e37c275b6e1e934fdd1f783e55321caa560,2014-01-20,209,2014-01-20,209,limachaves,https://review.tizen.org/gerrit/#/c/15400
TO_REVIEW_AND_VERIFY,platform/core/pim/contacts-service,tizen,I645c222fd85e31045bfc00c4e369b777de1a5b7e,2014-01-20,209,2014-01-20,209,limachaves,https://review.tizen.org/gerrit/#/c/15399
TO_REVIEW_AND_VERIFY,platform/framework/native/appfw,tizen,I014113904046534cfad4a0b5da16a1d9d06af762,2013-11-28,262,2014-01-20,209,dahyeong,https://review.tizen.org/gerrit/#/c/13087
TO_REVIEW_AND_VERIFY,platform/core/pim/contacts-service,tizen,I03ee637eb1e1a0525b7b6722a48ff0a9a3b271b4,2014-01-20,210,2014-01-20,210,donghee,https://review.tizen.org/gerrit/#/c/15356
TO_REVIEW_AND_VERIFY,platform/core/pim/contacts-service,tizen,I4077acf9dd123d3c8186db06b55f3fc1eea2ecc8,2014-01-17,213,2014-01-17,213,donghee,https://review.tizen.org/gerrit/#/c/15237
TO_REVIEW_AND_VERIFY,platform/core/api/notification,tizen,Ic99f774794ab2374483bc2b2703f99b51bb8b5b2,2014-01-16,213,2014-01-16,213,ibriano,https://review.tizen.org/gerrit/#/c/15198
TO_REVIEW_AND_VERIFY,platform/framework/web/webkit-efl,master,I9a533390ccfaa413b2ac65c31b9a697145ed74ac,2013-12-30,230,2014-01-16,214,mbachmann,https://review.tizen.org/gerrit/#/c/14245
TO_REVIEW_AND_VERIFY,sdk/emulator/qemu,tizen_2.2,I7e7c98e715ae1d98b716e78a194c2bee33faadee,2014-01-13,217,2014-01-13,217,weideng,https://review.tizen.org/gerrit/#/c/14769
TO_REVIEW_AND_VERIFY,apps/core/preloaded/email,tizen,Ia08c25a53f7ab6e7711a78936d326e81d4a05cac,2013-10-15,306,2014-01-10,219,dmichaluk,https://review.tizen.org/gerrit/#/c/10963
TO_REVIEW_AND_VERIFY,apps/core/preloaded/smartsearch,tizen,I64747bf388fdde3637888ecf504ceafc6106bcb9,2013-10-15,306,2014-01-10,219,dmichaluk,https://review.tizen.org/gerrit/#/c/10965
TO_REVIEW_AND_VERIFY,platform/framework/native/common-service,tizen,I28a77c5c9ad0c420cd9bfe0520f2c805b4758aca,2014-01-07,223,2014-01-08,221,soyu,https://review.tizen.org/gerrit/#/c/14535
TO_REVIEW_AND_VERIFY,platform/framework/native/env-config,tizen,I840c012a14acb973f6cb64566c4f0b452a84794a,2013-12-30,230,2014-01-07,223,earthfall,https://review.tizen.org/gerrit/#/c/14243
TO_REVIEW_AND_VERIFY,platform/core/telephony/tel-plugin-dbus_tapi,tizen,Ia373571588731bb3a0e5b3eb72609d3de0c6a15f,2014-01-03,227,2014-01-03,227,caiwenzhang,https://review.tizen.org/gerrit/#/c/14314
TO_REVIEW_AND_VERIFY,platform/framework/native/loader,tizen,I95479e64fe53d2e243210f7d44aa8ea9870999ff,2013-12-30,230,2014-01-01,228,earthfall,https://review.tizen.org/gerrit/#/c/14244
TO_REVIEW_AND_VERIFY,apps/native/sample/CipherMessage,tizen,Ic5380997b0e0e1f3f09f129b9689b086eed397a9,2013-12-26,234,2013-12-26,234,vinay,https://review.tizen.org/gerrit/#/c/14184
TO_REVIEW_AND_VERIFY,platform/core/system/kdbus-bus,kdbus-dev,Ib2144c7b2fb7ff9f90630f0b846f84f154ad17ff,2013-12-03,257,2013-12-03,257,sgrabowski,https://review.tizen.org/gerrit/#/c/13318
TO_REVIEW_AND_VERIFY,platform/framework/web/webkit-efl,tizen,I803133a0f1aad6ae87e3250865e73420ab6c4a80,2013-08-09,373,2013-11-05,286,joone,https://review.tizen.org/gerrit/#/c/7877
TO_REVIEW_AND_VERIFY,platform/framework/web/webkit-efl,tizen,I999f64a1b6f3709d9992b71ce27e9d62e1943cf9,2013-09-09,342,2013-11-05,286,juimonen,https://review.tizen.org/gerrit/#/c/9864
TO_REVIEW_AND_VERIFY,platform/framework/web/wrt-plugins-tizen,tizen,Idd561c07f1da309507ff8cecd0266ad9ed949531,2013-10-21,300,2013-10-23,299,michalmob,https://review.tizen.org/gerrit/#/c/11160
TO_REVIEW_AND_VERIFY,scm/meta/gbs-config,tizen_mobile,I9d0274bac57b014160230555cc4c3bf71d572826,2013-10-10,311,2013-10-10,311,xiaoqiang,https://review.tizen.org/gerrit/#/c/10721
TO_REVIEW_AND_VERIFY,scm/meta/gbs-config,tizen_ivi,I9d0274bac57b014160230555cc4c3bf71d572826,2013-10-10,311,2013-10-10,311,xiaoqiang,https://review.tizen.org/gerrit/#/c/10720
TO_REVIEW_AND_VERIFY,platform/core/multimedia/libmm-sound,tizen,I6cdd608a3d8bd2fd2f50cda73dee37588001aff9,2013-10-01,321,2013-10-03,319,mikeleib,https://review.tizen.org/gerrit/#/c/10371
TO_REVIEW_AND_VERIFY,platform/core/multimedia/libmm-sound,tizen,Iaedabd0e7866bcebe452c3f41c31afa88fc944d0,2013-10-01,321,2013-10-03,319,mikeleib,https://review.tizen.org/gerrit/#/c/10369
TO_REVIEW_AND_VERIFY,platform/core/pim/libaccounts-svc,tizen,Idce56f0f698f5a066e047396dd04fd2480280a9d,2013-10-03,319,2013-10-03,319,mikeleib,https://review.tizen.org/gerrit/#/c/10521
TO_REVIEW_AND_VERIFY,platform/core/pim/libaccounts-svc,tizen,I5796bdcf189ebda584f22a0aa814072a70c9984b,2013-10-03,319,2013-10-03,319,mikeleib,https://review.tizen.org/gerrit/#/c/10520
